event_id,name
391673,Full Package
391674,Friday Night
391675,Sat BBQ
391676,Sat Evening
391677,Sunday Brunch
391678,Indiv. Events Header
391679,Thursday Night
391681,Memorial Service
391683,Class Report Contrib
391684,ReunionPricing
391685,RadDay
391686,Event Reg Heading
391687,Housing Header
391688,Housing Header
391689,Class Diet
391690,Check-In Date
391691,Length of Stay
391692,One Night
391693,Two Nights
391694,Three Nights
391695,Guest Diet
391696,Disabilities
391708,Kids BBQ
391709,Survey
391798,childcare header
391800,Thurs Care
391837,Friday Child
391838,Sat Childcare
391852,Parking permit
391853,parking header
392178,Full pack header
392529,Housing Requests
392635,Remittance Header
392649,Notes
h01-1,Commencement Exercises
h01-2,Annual Meeting of the Harvard Alumni Association
h01-3,Radcliffe Day Program & Luncheon
