user_id,event_id,value
2035562,391856,1
2035562,391874,1
2035562,391878,1
2035562,392661,1
2035822,391856,1
2035822,391858,1
2035822,391859,1
2035822,391860,1
2035822,391861,1
2035822,391862,1
2035822,391874,1
2035822,391883,1
2035822,391918,1
2035822,391921,1
2036841,391858,1
2036841,391859,1
2036841,391860,1
2036841,391861,1
2036841,391862,1
2036841,391874,1
2036841,391877,1
2036841,391883,1
2036841,391921,1
2036841,392660,1
2036841,392661,1
2041116,391856,1
2041116,391859,1
2041116,391860,1
2041116,391874,1
2041116,391877,1
2041116,391918,1
2041116,392644,1
2041116,392660,1
2041116,392661,1
2041219,391859,1
2041219,391860,1
2041219,391874,1
2041219,391877,1
2041219,391918,1
2041219,392644,1
2041219,392660,1
2041219,392661,1
2041262,391856,1
2041262,391859,1
2041262,391860,1
2041262,391874,1
2041262,391918,1
2043425,391856,1
2043425,391858,1
2043425,391859,1
2043425,391860,1
2043425,391861,1
2043425,391862,1
2043425,391874,1
2043425,391883,1
2043425,391921,1
2044923,391856,1
2044923,391860,1
2044923,391861,1
2044923,391874,1
2044923,391882,1
2044923,391918,1
2044927,391858,1
2044927,391859,1
2044927,391860,1
2044927,391861,1
2044927,391862,1
2044927,391874,1
2044927,391877,1
2044927,391883,1
2044927,391921,1
2044927,392660,1
2044927,392661,1
2044966,391856,1
2044966,391860,1
2044966,391861,1
2044966,391874,1
2044966,391918,1
2045009,391860,1
2045009,391861,1
2045009,391874,1
2045009,391918,1
2045086,391858,1
2045086,391859,1
2045086,391860,1
2045086,391861,1
2045086,391862,1
2045086,391874,1
2045086,391882,1
2045086,391883,1
2045086,391921,1
2045086,391922,1
2045107,391858,1
2045107,391859,1
2045107,391860,1
2045107,391861,1
2045107,391862,1
2045107,391874,1
2045107,391883,1
2045107,391921,1
2045118,391856,1
2045118,391858,1
2045118,391859,1
2045118,391860,1
2045118,391861,1
2045118,391862,1
2045118,391874,1
2045118,391883,1
2045118,391921,1
2045129,391856,1
2045129,391858,1
2045129,391859,1
2045129,391860,1
2045129,391861,1
2045129,391862,1
2045129,391874,1
2045129,391883,1
2045129,391921,1
2045298,391854,1
2045298,391855,1
2045298,391860,1
2045298,391861,1
2045298,391874,1
2045298,391882,1
2045298,391918,1
2045298,392661,1
2045378,391858,1
2045378,391859,1
2045378,391860,1
2045378,391861,1
2045378,391862,1
2045378,391874,1
2045378,391883,1
2045378,391921,1
2046282,391860,1
2046282,391861,1
2046282,391874,1
2046282,391918,1
2046324,391874,1
2046324,391918,1
2046324,392661,1
2046622,391860,1
2046622,391861,1
2046622,391862,1
2046622,391874,1
2046622,391918,1
2046809,391856,1
2046809,391858,1
2046809,391859,1
2046809,391860,1
2046809,391861,1
2046809,391862,1
2046809,391874,1
2046809,391883,1
2046809,391921,1
2046809,392661,1
2046948,391858,1
2046948,391859,1
2046948,391860,1
2046948,391861,1
2046948,391862,1
2046948,391874,1
2046948,391877,1
2046948,391883,1
2046948,391921,1
2046948,392644,1
2046948,392661,1
2047153,391856,1
2047153,391860,1
2047153,391861,1
2047153,391862,1
2047153,391873,1
2047153,391874,1
2047153,391882,1
2047153,391921,1
2047347,391856,1
2047347,391859,1
2047347,391861,1
2047347,391874,1
2047347,391918,1
2047661,391856,1
2047661,391860,1
2047661,391861,1
2047661,391867,1
2047661,391874,1
2047661,391882,1
2047661,391918,1
2047750,391856,1
2047750,391858,1
2047750,391859,1
2047750,391860,1
2047750,391861,1
2047750,391862,1
2047750,391874,1
2047750,391878,1
2047750,391882,1
2047750,391883,1
2047750,391921,1
2047750,391922,1
2047750,392644,1
2047750,392660,1
2047750,392661,1
2048028,391856,1
2048028,391858,1
2048028,391859,1
2048028,391860,1
2048028,391861,1
2048028,391862,1
2048028,391874,1
2048028,391882,1
2048028,391883,1
2048028,391921,1
2048291,391859,1
2048291,391861,1
2048291,391874,1
2048291,391918,1
2048372,391854,1
2048372,391855,1
2048372,391858,1
2048372,391859,1
2048372,391860,1
2048372,391861,1
2048372,391862,1
2048372,391874,1
2048372,391878,1
2048372,391883,1
2048372,391921,1
2048372,392644,1
2048372,392661,1
2049996,391856,1
2049996,391861,1
2049996,391874,1
2049996,391918,1
2051524,391854,1
2051524,391855,1
2051524,391856,1
2051524,391858,1
2051524,391859,1
2051524,391860,1
2051524,391861,1
2051524,391862,1
2051524,391874,1
2051524,391883,1
2051524,391921,1
2052268,391858,1
2052268,391859,1
2052268,391860,1
2052268,391861,1
2052268,391862,1
2052268,391874,1
2052268,391879,1
2052268,391883,1
2052268,391921,1
2053288,391858,1
2053288,391859,1
2053288,391860,1
2053288,391861,1
2053288,391862,1
2053288,391874,1
2053288,391883,1
2053288,391921,1
2053727,391856,1
2053727,391861,1
2053727,391874,1
2053727,391918,1
2053898,391854,1
2053898,391855,1
2053898,391856,1
2053898,391859,1
2053898,391861,1
2053898,391874,1
2053898,391918,1
