user_id,event_id,value
testID0,391673,1
testID0,391674,1
testID0,391675,1
testID0,391676,1
testID0,391677,1
testID0,391679,1
testID0,391681,1
testID1,391673,1
testID1,391674,1
testID1,391675,1
testID1,391676,1
testID1,391677,1
testID1,391679,1
testID1,391681,1
testID2,391673,1
testID2,391674,1
testID2,391675,1
testID2,391676,1
testID2,391677,1
testID2,391679,1
testID2,391681,1
testID3,391673,1
testID3,391674,1
testID3,391675,1
testID3,391676,1
testID3,391677,1
testID3,391679,1
testID3,391681,1
testID4,391673,1
testID4,391674,1
testID4,391675,1
testID4,391676,1
testID4,391677,1
testID4,391679,1
testID4,391681,1
testID5,391673,1
testID5,391674,1
testID5,391675,1
testID5,391676,1
testID5,391677,1
testID5,391679,1
testID5,391681,1
testID6,391673,1
testID6,391674,1
testID6,391675,1
testID6,391676,1
testID6,391677,1
testID6,391679,1
testID6,391681,1
testID7,391673,1
testID7,391674,1
testID7,391675,1
testID7,391676,1
testID7,391677,1
testID7,391679,1
testID7,391681,1
testID8,391673,1
testID8,391674,1
testID8,391675,1
testID8,391676,1
testID8,391677,1
testID8,391679,1
testID8,391681,1
testID9,391673,1
testID9,391674,1
testID9,391675,1
testID9,391676,1
testID9,391677,1
testID9,391679,1
testID9,391681,1
testID10,391673,1
testID10,391674,1
testID10,391675,1
testID10,391676,1
testID10,391677,1
testID10,391679,1
testID10,391681,1
testID11,391673,1
testID11,391674,1
testID11,391675,1
testID11,391676,1
testID11,391677,1
testID11,391679,1
testID11,391681,1
testID12,391673,1
testID12,391674,1
testID12,391675,1
testID12,391676,1
testID12,391677,1
testID12,391679,1
testID12,391681,1
testID13,391673,1
testID13,391674,1
testID13,391675,1
testID13,391676,1
testID13,391677,1
testID13,391679,1
testID13,391681,1
testID14,391673,1
testID14,391674,1
testID14,391675,1
testID14,391676,1
testID14,391677,1
testID14,391679,1
testID14,391681,1
testID15,391673,1
testID15,391674,1
testID15,391675,1
testID15,391676,1
testID15,391677,1
testID15,391679,1
testID15,391681,1
testID16,391673,1
testID16,391674,1
testID16,391675,1
testID16,391676,1
testID16,391677,1
testID16,391679,1
testID16,391681,1
testID17,391673,1
testID17,391674,1
testID17,391675,1
testID17,391676,1
testID17,391677,1
testID17,391679,1
testID17,391681,1
testID18,391673,1
testID18,391674,1
testID18,391675,1
testID18,391676,1
testID18,391677,1
testID18,391679,1
testID18,391681,1
testID19,391673,1
testID19,391674,1
testID19,391675,1
testID19,391676,1
testID19,391677,1
testID19,391679,1
testID19,391681,1
testID20,391673,1
testID20,391674,1
testID20,391675,1
testID20,391676,1
testID20,391677,1
testID20,391679,1
testID20,391681,1
testID21,391673,1
testID21,391674,1
testID21,391675,1
testID21,391676,1
testID21,391677,1
testID21,391679,1
testID21,391681,1
testID22,391673,1
testID22,391674,1
testID22,391675,1
testID22,391676,1
testID22,391677,1
testID22,391679,1
testID22,391681,1
testID23,391673,1
testID23,391674,1
testID23,391675,1
testID23,391676,1
testID23,391677,1
testID23,391679,1
testID23,391681,1
testID24,391673,1
testID24,391674,1
testID24,391675,1
testID24,391676,1
testID24,391677,1
testID24,391679,1
testID24,391681,1
testID25,391673,1
testID25,391674,1
testID25,391675,1
testID25,391676,1
testID25,391677,1
testID25,391679,1
testID25,391681,1
testID26,391673,1
testID26,391674,1
testID26,391675,1
testID26,391676,1
testID26,391677,1
testID26,391679,1
testID26,391681,1
testID27,391673,1
testID27,391674,1
testID27,391675,1
testID27,391676,1
testID27,391677,1
testID27,391679,1
testID27,391681,1
testID28,391673,1
testID28,391674,1
testID28,391675,1
testID28,391676,1
testID28,391677,1
testID28,391679,1
testID28,391681,1
testID29,391673,1
testID29,391674,1
testID29,391675,1
testID29,391676,1
testID29,391677,1
testID29,391679,1
testID29,391681,1
testID30,391673,1
testID30,391674,1
testID30,391675,1
testID30,391676,1
testID30,391677,1
testID30,391679,1
testID30,391681,1
testID31,391673,1
testID31,391674,1
testID31,391675,1
testID31,391676,1
testID31,391677,1
testID31,391679,1
testID31,391681,1
testID32,391673,1
testID32,391674,1
testID32,391675,1
testID32,391676,1
testID32,391677,1
testID32,391679,1
testID32,391681,1
testID33,391673,1
testID33,391674,1
testID33,391675,1
testID33,391676,1
testID33,391677,1
testID33,391679,1
testID33,391681,1
testID34,391673,1
testID34,391674,1
testID34,391675,1
testID34,391676,1
testID34,391677,1
testID34,391679,1
testID34,391681,1
testID35,391673,1
testID35,391674,1
testID35,391675,1
testID35,391676,1
testID35,391677,1
testID35,391679,1
testID35,391681,1
testID36,391673,1
testID36,391674,1
testID36,391675,1
testID36,391676,1
testID36,391677,1
testID36,391679,1
testID36,391681,1
testID37,391673,1
testID37,391674,1
testID37,391675,1
testID37,391676,1
testID37,391677,1
testID37,391679,1
testID37,391681,1
testID38,391673,1
testID38,391674,1
testID38,391675,1
testID38,391676,1
testID38,391677,1
testID38,391679,1
testID38,391681,1
testID39,391673,1
testID39,391674,1
testID39,391675,1
testID39,391676,1
testID39,391677,1
testID39,391679,1
testID39,391681,1
testID40,391673,1
testID40,391674,1
testID40,391675,1
testID40,391676,1
testID40,391677,1
testID40,391679,1
testID40,391681,1
testID41,391673,1
testID41,391674,1
testID41,391675,1
testID41,391676,1
testID41,391677,1
testID41,391679,1
testID41,391681,1
testID42,391673,1
testID42,391674,1
testID42,391675,1
testID42,391676,1
testID42,391677,1
testID42,391679,1
testID42,391681,1
testID43,391673,1
testID43,391674,1
testID43,391675,1
testID43,391676,1
testID43,391677,1
testID43,391679,1
testID43,391681,1
testID44,391673,1
testID44,391674,1
testID44,391675,1
testID44,391676,1
testID44,391677,1
testID44,391679,1
testID44,391681,1
testID45,391673,1
testID45,391674,1
testID45,391675,1
testID45,391676,1
testID45,391677,1
testID45,391679,1
testID45,391681,1
testID46,391673,1
testID46,391674,1
testID46,391675,1
testID46,391676,1
testID46,391677,1
testID46,391679,1
testID46,391681,1
testID47,391673,1
testID47,391674,1
testID47,391675,1
testID47,391676,1
testID47,391677,1
testID47,391679,1
testID47,391681,1
testID48,391673,1
testID48,391674,1
testID48,391675,1
testID48,391676,1
testID48,391677,1
testID48,391679,1
testID48,391681,1
testID49,391673,1
testID49,391674,1
testID49,391675,1
testID49,391676,1
testID49,391677,1
testID49,391679,1
testID49,391681,1
testID50,391673,1
testID50,391674,1
testID50,391675,1
testID50,391676,1
testID50,391677,1
testID50,391679,1
testID50,391681,1
testID51,391673,1
testID51,391674,1
testID51,391675,1
testID51,391676,1
testID51,391677,1
testID51,391679,1
testID51,391681,1
testID52,391673,1
testID52,391674,1
testID52,391675,1
testID52,391676,1
testID52,391677,1
testID52,391679,1
testID52,391681,1
testID53,391673,1
testID53,391674,1
testID53,391675,1
testID53,391676,1
testID53,391677,1
testID53,391679,1
testID53,391681,1
testID54,391673,1
testID54,391674,1
testID54,391675,1
testID54,391676,1
testID54,391677,1
testID54,391679,1
testID54,391681,1
testID55,391673,1
testID55,391674,1
testID55,391675,1
testID55,391676,1
testID55,391677,1
testID55,391679,1
testID55,391681,1
testID56,391673,1
testID56,391674,1
testID56,391675,1
testID56,391676,1
testID56,391677,1
testID56,391679,1
testID56,391681,1
testID57,391673,1
testID57,391674,1
testID57,391675,1
testID57,391676,1
testID57,391677,1
testID57,391679,1
testID57,391681,1
testID58,391673,1
testID58,391674,1
testID58,391675,1
testID58,391676,1
testID58,391677,1
testID58,391679,1
testID58,391681,1
testID59,391673,1
testID59,391674,1
testID59,391675,1
testID59,391676,1
testID59,391677,1
testID59,391679,1
testID59,391681,1
testID60,391673,1
testID60,391674,1
testID60,391675,1
testID60,391676,1
testID60,391677,1
testID60,391679,1
testID60,391681,1
testID61,391673,1
testID61,391674,1
testID61,391675,1
testID61,391676,1
testID61,391677,1
testID61,391679,1
testID61,391681,1
testID62,391673,1
testID62,391674,1
testID62,391675,1
testID62,391676,1
testID62,391677,1
testID62,391679,1
testID62,391681,1
testID63,391673,1
testID63,391674,1
testID63,391675,1
testID63,391676,1
testID63,391677,1
testID63,391679,1
testID63,391681,1
testID64,391673,1
testID64,391674,1
testID64,391675,1
testID64,391676,1
testID64,391677,1
testID64,391679,1
testID64,391681,1
testID65,391673,1
testID65,391674,1
testID65,391675,1
testID65,391676,1
testID65,391677,1
testID65,391679,1
testID65,391681,1
testID66,391673,1
testID66,391674,1
testID66,391675,1
testID66,391676,1
testID66,391677,1
testID66,391679,1
testID66,391681,1
testID67,391673,1
testID67,391674,1
testID67,391675,1
testID67,391676,1
testID67,391677,1
testID67,391679,1
testID67,391681,1
testID68,391673,1
testID68,391674,1
testID68,391675,1
testID68,391676,1
testID68,391677,1
testID68,391679,1
testID68,391681,1
testID69,391673,1
testID69,391674,1
testID69,391675,1
testID69,391676,1
