event_id,name
385611,One Night
385612,Two Nights
385613,three nights
385614,Check In
385615,Housing
385617,Roommate Request
385618,PreferredHouse
385619,HeadingFeeStructure
385620,Full Package
385621,Part Time
385622,Tues and Wed Day
385623,Tues+pops+wed day
385624,Tuesday no pops
385625,Monday Events
385626,Tuesday
385627,Misc
385628,CellPhone
385629,DietaryClassmate
385630,DietaryGuest
385631,ReportBookCont
385632,four nights
385643,five nights
385644,Stop
385645,preferences
385646,length of stay
385647,LateFee
387560,Budget Packages
387620,Individual Event Pkg
387627,Wednesday
387628,Wednesday Daytime
387629,Wednesday Dinner
387630,Thursday
hr61-10,NH
hr61-11,NH
hr61-12,NH
hr61-13,NH
hr61-14,NH
hr61-15,NH
hr61-16,NH
hr61-17,NH
hr61-18,NH
hr61-19,NH
hr61-20,NH
hr61-21,NH
hr61-22,NH
hr61-23,NH
hr61-24,NH
hr61-25,NH
hr61-26,NH
hr61-27,NH
hr61-28,NH
hr61-29,NH
hr61-3,NH
hr61-30,NH
hr61-31,NH
hr61-32,NH
hr61-33,NH
hr61-34,NH
hr61-36,NH
hr61-4,NH
hr61-5,NH
hr61-6,NH
hr61-7,NH
hr61-8,NH
hr61-9,NH
