event_id,name
391136,Full Package
391137,Friday Night
391138,Sat BBQ
391139,Sat Evening
391140,Sunday Brunch
391141,Indiv. Events Header
391142,Thursday Night
391143,Parking Pass
391144,Memorial Service
391145,Class Report
391146,Class Report Contrib
391148,ReunionPricing
391150,RadDay
391245,Event Reg Heading
391378,Housing Header
391379,Housing Header
391385,Check-In Date
391386,Length of Stay
391387,One Night
391388,Two Nights
391389,Three Nights
391391,Class Diet
391392,Guest Diet
391477,Disabilities
391478,Stop
391947,Full pack header
391948,parking header
392637,Housing Requests
392650,Housing Notes
