event_id,name
403093,Full Package
403094,Individual Events
403095,Friday
403096,Saturday Lunch
403098,Saturday Gala
403100,scholorship fund
403101,Cell Phone
403102,Classmate Dietary
403105,Class Report
403106,Registration Fee
403107,misc
403108,Guest Dietary
403109,STOP
403110,Jacket Size 1
403228,Friday Adult
403229,Friday Young Adult
403230,Friday Child
403234,childcare
403430,Jacket Size 2
405742,Sackler Tour
hr81-10,NH
hr81-11,NH
hr81-13,NH
hr81-14,NH
hr81-17,NH
hr81-18,NH
hr81-19,NH
hr81-20,NH
hr81-3,NH
hr81-5,NH
hr81-6,NH
hr81-7,NH
hr81-8,NH
hr81-9,NH
