event_id,name
387927,Fri Dinner/Pops
387928,Friday All Day Child
387929,Saturday
387930,Sat talent and Dinne
387931,Fri Adult All Day
387933,Sat Adult All Day
387934,Wed Night housing
387935,Thurs Night Housing
387936,Fri Night Housing
387937,Sat Night housing
387938,Adult Registration
387939,Full  Pkg
387940,wednesday
387941,Thursday
387942,Thurs Adult All Day
387943,Thurs Breakfast
387944,Thurs All Day Child
387946,Sat All Day Child
387949,Selected Event
387950,Cell Phone
387951,Shared Suites
387954,Sunday
387955,Children's Program
387956,Names and ages
387964,a la carte child
387965,Sunday
387966,Wed Child
387967,info
387968,child 1
387969,child 2
387970,child 3
387971,child 4
387972,child 5
387973,Class Report
387974,Financial Aid
387975,Sunday Adult
387976,Sat Adult Breakfast
387978,Friday
387979,Fri Adult Pops/Rec
387982,child 5
387983,child 5
387984,email
387985,Housing
387986,Wed Adult Pub
387988,Child Full Package
387989,Wednesday
387990,thursday
387991,Friday
387992,Saturday
387993,Sunday Child
387994,Misc
387995,Registration Fee
388004,Thursday Lunch
388010,Thursday Dinner
388011,Fri Adult Breakfast
388012,Fri Adult Lunch
388013,Pre Pops Adult Din
388017,Sat Adult Lunch
388019,Sackler Tour
392349,Salem Excursion
hr76-10,NH
hr76-11,NH
hr76-12,NH
hr76-13,NH
hr76-14,NH
hr76-15,NH
hr76-16,NH
hr76-17,NH
hr76-18,NH
hr76-19,NH
hr76-2,NH
hr76-20,NH
hr76-21,NH
hr76-22,NH
hr76-23,NH
hr76-24,NH
hr76-26,NH
hr76-27,NH
hr76-28,NH
hr76-3,NH
hr76-4,NH
hr76-5,NH
hr76-6,NH
hr76-7,NH
hr76-8,NH
hr76-9,NH
