event_id,name
387650,Wed Night housing
387651,Thurs Night Housing
387652,Fri Night Housing
387653,Sat Night housing
387654,Adult Registration
387655,Full  Pkg
387657,wednesday
387658,Thursday
387659,Thurs Day Adult
387660,Thurs Eve Adult
387661,Thurs All Day Child
387662,Thurs 1/2 Child
387663,Thurs Evening child
387664,Fri Day Adult
387665,Fri Eve Adult
387667,Friday All Day Child
387668,Fri Evening Child
387669,Saturday
387670,Sat Adult Day
387671,Sat talent and club
387672,Sat All Day Child
387673,Sat Half Day Child
387674,Sat Evening Child
387675,Selected Event
387681,Cell Phone
387682,Shared Suites
387683,Rainbow/Canary
387685,Weekend Adult
387687,Sunday
387688,Children's Program
387689,Names and ages
387690,R/C Wednesday
387691,R/C Friday PM
387692,R/C Saturday Day
387693,R/C Sat PM
387694,R/C Thurs Day
387695,Children's Program
387696,Weekend Package Chil
387697,a la carte child
387698,Wed Child
387699,Sunday
387700,info
387701,child 1
387702,child 2
387703,child 3
387704,child 4
387705,child 5
387706,Class Report
387707,Financial Aid
387709,Saturday Eve Adult
387710,Friday Half day chil
387711,Friday
387712,Friday Pops Only
387715,R/C Friday Day
387716,R/C Thurs PM
387717,child 5
387718,child 5
387719,email
387736,Sunday Adult
387757,Housing
387759,Wednesday Adult
387773,Sunday R/C
387774,Child Full Package
387775,Wednesday
387776,thursday
387778,Friday
387782,Saturday
387790,Sunday Child
387857,Misc
388040,Optional Event
392348,Salem Excursion
393885,Fri House Lunch
393886,Friday House Lunch
hr86-10,NH
hr86-11,NH
hr86-13,NH
hr86-14,NH
hr86-15,NH
hr86-17,NH
hr86-18,NH
hr86-19,NH
hr86-20,NH
hr86-21,NH
hr86-22,NH
hr86-23,NH
hr86-24,NH
hr86-25,NH
hr86-26,NH
hr86-28,NH
hr86-30,NH
hr86-31,NH
hr86-33,NH
hr86-34,NH
hr86-35,NH
hr86-36,NH
hr86-37,NH
hr86-38,NH
hr86-39,NH
hr86-5,NH
hr86-7,NH
hr86-8,NH
hr86-9,NH
