event_id,name
392030,Friday Child
392031,Sat Childcare
392032,Parking permit
392033,parking header
392034,Full Package
392035,Friday Night
392036,Sat BBQ
392037,Sat Evening
392038,Sunday Brunch
392039,Indiv. Events Header
392040,Thursday Night
392042,Class Report
392043,Class Report Contrib
392044,ReunionPricing
392045,RadDay
392046,Event Reg Heading
392047,Housing Header
392048,Housing Header
392049,Class Diet
392050,Check-In Date
392051,Length of Stay
392052,One Night
392053,Two Nights
392054,Three Nights
392055,Guest Diet
392056,Disabilities
392057,Stop
392058,Kids BBQ
392059,Kids Yoga
392060,childcare header
392061,Thurs Care
392063,Reg Fee
392151,Kids Yoga 4-7
392152,Kids Yoga 8+
392153,Mem Service
392154,Kids Brunch
392155,Full pack header
392156,Arts Panel
392648,Housing Request
394940,childcare info
394941,Child Info 1
394942,Child Info 2
394943,Child 3 Info
394944,Child Info 4
