event_id,name
391854,Friday Child
391855,Sat Childcare
391856,Parking permit
391857,parking header
391858,Full Package
391859,Friday Night
391860,Sat BBQ
391861,Sat Evening
391862,Sunday Brunch
391863,Indiv. Events Header
391866,Class Report
391867,Class Report Contrib
391868,ReunionPricing
391869,RadDay
391870,Event Reg Heading
391871,Housing Header
391872,Housing Header
391873,Class Diet
391874,Check-In Date
391875,Length of Stay
391876,One Night
391877,Two Nights
391878,Three Nights
391879,Guest Diet
391880,Disabilities
391881,Stop
391882,Kids BBQ
391883,Singles Mixer
391884,childcare header
391918,Reg Fee
391921,Mem Service
391922,Kids Brunch
391946,Full header
392644,Housing Requests
392660,Housing Notes
392661,House Affil
394935,childcare
394936,Child Info 1
394937,Child Info 2
394938,Child Info 3
394939,Child Info 4
